dataset,dimension_order,dimensions_scanned,slack_mean,slack_p10,slack_p90
scifact,natural,0,1.1146507355689819,1.0844776272773742,1.1418795108795166
scifact,natural,1,1.1146250857502802,1.0844709753990174,1.1418607354164123
scifact,natural,2,1.114506839582089,1.0843915939331055,1.1417305231094361
scifact,natural,3,1.114054171634231,1.0842039346694947,1.1410513639450073
scifact,natural,4,1.113610561531114,1.0839337944984435,1.1404400229454041
scifact,natural,5,1.1130140204335786,1.0835538864135743,1.1397338271141053
scifact,natural,6,1.1124228718339213,1.083197295665741,1.1389832139015197
scifact,natural,7,1.1118312772378807,1.0827369570732117,1.138329529762268
scifact,natural,8,1.1111813801650074,1.0822682857513428,1.1375901222229003
scifact,natural,10,1.109521131946984,1.0812714099884033,1.1353174567222595
scifact,natural,11,1.1088794202793526,1.0807400584220885,1.1345785975456237
scifact,natural,13,1.1074856367268526,1.0797391653060913,1.13294460773468
scifact,natural,16,1.1046769322958918,1.0779753923416138,1.1293337106704713
scifact,natural,18,1.1032047216578982,1.0768813848495484,1.1276368141174316
scifact,natural,22,1.0998999518237702,1.0744762301445008,1.1233115315437316
scifact,natural,25,1.0975921911501456,1.0728182435035705,1.1205538630485534
scifact,natural,30,1.09298167750156,1.0695075869560242,1.1154324769973756
scifact,natural,35,1.0876261716401419,1.065252411365509,1.1084929823875427
scifact,natural,41,1.0822217592152532,1.0611022591590882,1.1020952701568603
scifact,natural,49,1.07374107432738,1.0551897168159485,1.0908958911895752
scifact,natural,57,1.0669353839722284,1.0502146482467651,1.0831002473831177
scifact,natural,67,1.0557241163745066,1.0421885132789612,1.0700012564659118
scifact,natural,79,1.0436801600529837,1.0338225364685059,1.053981065750122
scifact,natural,93,1.0305412017156,1.0233016967773438,1.038242506980896
scifact,natural,109,1.0168396611170445,1.01255202293396,1.0215632915496826
scifact,natural,128,1.0,1.0,1.0
scifact,bond,0,1.1146507340620182,1.0844776391983033,1.141879415512085
scifact,bond,1,1.114508773846767,1.0844399333000183,1.1416243076324464
scifact,bond,2,1.1140724902656256,1.0842506647109986,1.1410009384155273
scifact,bond,3,1.1133704283498278,1.0839023470878602,1.139987313747406
scifact,bond,4,1.112466434245171,1.0834120512008667,1.13868590593338
scifact,bond,5,1.1114485181392262,1.0828442096710205,1.1373409390449525
scifact,bond,6,1.110395619338851,1.0821534991264343,1.1360861301422118
scifact,bond,7,1.1091232966309506,1.0811984300613404,1.1344318628311156
scifact,bond,8,1.1077586022928463,1.0803769469261169,1.1325175046920777
scifact,bond,10,1.1049549347591199,1.0784355044364928,1.1289143681526184
scifact,bond,11,1.1035200522582136,1.0774344205856323,1.127065658569336
scifact,bond,13,1.1004955963276077,1.0755311965942382,1.1231665134429931
scifact,bond,16,1.0959602413894172,1.07243093252182,1.1174914717674256
scifact,bond,18,1.0927405848849034,1.0702452659606934,1.1133979678153991
scifact,bond,22,1.0864075403058941,1.0657654643058776,1.1055665016174316
scifact,bond,25,1.081386417308508,1.062456488609314,1.0994659900665282
scifact,bond,30,1.0732191863318519,1.0565484762191772,1.0892528414726257
scifact,bond,35,1.0673912017289768,1.0523533463478087,1.082112681865692
scifact,bond,41,1.0625965826989323,1.048797845840454,1.0763009309768676
scifact,bond,49,1.0564101520073177,1.044074285030365,1.0688823461532593
scifact,bond,57,1.05041824206132,1.039300549030304,1.061457872390747
scifact,bond,67,1.0426496743281881,1.0332950353622437,1.0520808696746826
scifact,bond,79,1.0339489836019369,1.0266897678375244,1.0413463234901428
scifact,bond,93,1.0236816265222857,1.0187835693359375,1.0286216735839844
scifact,bond,109,1.012799002287955,1.0098828077316284,1.0158710598945617
scifact,bond,128,1.0,1.0,1.0
scifact,pca,0,1.1146507250722164,1.0844776272773742,1.1418795108795166
scifact,pca,1,1.1146392507509861,1.084464156627655,1.1418673157691956
scifact,pca,2,1.1144962906014062,1.084354865550995,1.1415933847427369
scifact,pca,3,1.1142316407516106,1.0841275334358216,1.1413028240203857
scifact,pca,4,1.113805878130184,1.083866810798645,1.1406246662139892
scifact,pca,5,1.1132318414630702,1.0834339618682862,1.1398594379425049
scifact,pca,6,1.1125297502438212,1.0828599810600281,1.139055848121643
scifact,pca,7,1.111053652107865,1.0819488644599915,1.137043535709381
scifact,pca,8,1.1103774650980556,1.0813741207122802,1.1363856792449951
scifact,pca,10,1.1086627036384835,1.0801122188568115,1.1342352747917175
scifact,pca,11,1.10792517111795,1.0794994473457336,1.133373987674713
scifact,pca,13,1.1062532844337376,1.078400480747223,1.131195080280304
scifact,pca,16,1.1033736139141452,1.0762160658836364,1.1276596069335938
scifact,pca,18,1.1012175479534163,1.0745148301124572,1.125260877609253
scifact,pca,22,1.0980824216995004,1.0720537781715394,1.1217405915260314
scifact,pca,25,1.0957602455265016,1.0702168822288514,1.119110369682312
scifact,pca,30,1.0909001733988564,1.0666982889175416,1.1132444381713866
scifact,pca,35,1.0864101135296043,1.06273113489151,1.1082526564598083
scifact,pca,41,1.080115833843212,1.0582078456878663,1.1005544662475586
scifact,pca,49,1.0725333176132061,1.0533671379089355,1.0906418800354003
scifact,pca,57,1.0640826913405632,1.0470068454742432,1.0798036098480224
scifact,pca,67,1.0550453711103431,1.039903163909912,1.0686558485031128
scifact,pca,79,1.0426420759073722,1.0309842467308044,1.0529621958732605
scifact,pca,93,1.0305149849542614,1.0226042151451111,1.0377060174942017
scifact,pca,109,1.0160142676420432,1.0116898894309998,1.0207314610481262
scifact,pca,128,1.0,1.0,1.0
