dataset,dimension_order,checkpoints,ms_per_query_1t,dense_ms_per_query_1t,recall_vs_exact_at_10,docs_pruned_pct
scifact,natural,32,56.91354885999317,52.142574160025106,1.0,0.0
scifact,natural,48,57.53495525998005,52.142574160025106,1.0,0.0
scifact,natural,64,57.491087339949445,52.142574160025106,1.0,0.005402276673741077
scifact,natural,96,53.37261164000665,52.142574160025106,1.0,31.63920509357515
scifact,natural,112,50.179193200019654,52.142574160025106,1.0,88.23731429673934
scifact,natural,"32,64",60.24066181998933,52.142574160025106,1.0,0.005402276673741077
scifact,natural,"64,112",54.60621563994209,52.142574160025106,1.0,88.23731429673934
scifact,natural,"32,64,96,112",55.694999339975766,52.142574160025106,1.0,88.23731429673934
scifact,bond,32,69.6705815599853,52.142574160025106,1.0,0.0
scifact,bond,48,66.0383646000264,52.142574160025106,1.0,0.024310245031834845
scifact,bond,64,63.12111566003295,52.142574160025106,1.0,1.982249662357708
scifact,bond,96,52.97093240005779,52.142574160025106,1.0,62.61354427937488
scifact,bond,112,52.160518919990864,52.142574160025106,1.0,94.50356936137372
scifact,bond,"32,64",69.85091607995855,52.142574160025106,1.0,1.982249662357708
scifact,bond,"64,112",57.99809872005426,52.142574160025106,1.0,94.50356936137372
scifact,bond,"32,64,96,112",62.69620455997937,52.142574160025106,1.0,94.50356936137372
