dataset,arm,candidate_budget,ms_per_query_total,recall_vs_exact_at_10,comparison_scope
scidocs,dense_fused,,65.50315778004006,1.0,uncapped_reference
scidocs,bond,,66.69192907997058,1.0,historical_system_cap
scidocs,faiss@100,100,28.641172380011994,0.9219999999999999,historical_system_cap
scidocs,faiss@500,500,43.49216353999509,0.988,historical_system_cap
scidocs,faiss@1000,1000,78.53633154001727,0.992,historical_system_cap
scidocs,faiss@5000,5000,161.6544419999991,1.0,historical_system_cap
scidocs,plaid@100,100,122.08778465996147,0.87,historical_system_cap
scidocs,plaid@500,500,133.40911439998308,0.9199999999999998,historical_system_cap
scidocs,plaid@1000,1000,165.16313254003762,0.922,historical_system_cap
scidocs,plaid@5000,5000,311.65556895997724,0.922,historical_system_cap
scidocs,pdx@100,100,24.85374101997877,0.9199999999999998,historical_system_cap
scidocs,pdx@500,500,33.49141180005972,0.988,historical_system_cap
scidocs,pdx@1000,1000,46.28299089999928,0.9940000000000001,historical_system_cap
scidocs,pdx@5000,5000,153.739323980044,1.0,historical_system_cap
scidocs,partitioned@100,100,3.0379159199947026,0.012,historical_system_cap
scidocs,partitioned@500,500,1.491859219968319,0.27,historical_system_cap
scidocs,partitioned@1000,1000,4.481123479999951,0.686,historical_system_cap
scidocs,partitioned@5000,5000,24.09454447995813,0.9460000000000001,historical_system_cap
