dataset,threshold_policy,dimension_order,dimensions_scanned,document_survival,token_survival
scifact,self_bound,natural,4,1.0,1.0
scifact,self_bound,natural,12,1.0,1.0
scifact,self_bound,natural,20,1.0,1.0
scifact,self_bound,natural,32,1.0,1.0
scifact,self_bound,natural,48,1.0,1.0
scifact,self_bound,natural,64,0.9999884236928419,0.9999893992994776
scifact,self_bound,natural,96,0.8427011383368705,0.8390543824697705
scifact,self_bound,natural,128,0.015655026046691105,0.00098116930107216
scifact,self_bound,bond,4,1.0,1.0
scifact,self_bound,bond,12,1.0,1.0
scifact,self_bound,bond,20,1.0,1.0
scifact,self_bound,bond,32,1.0,1.0
scifact,self_bound,bond,48,0.9999652710785258,0.9999662880201571
scifact,self_bound,bond,64,0.9957167663515339,0.9956704110793967
scifact,self_bound,bond,96,0.6130928033957167,0.6080167228240967
scifact,self_bound,bond,128,0.015655026046691105,0.0009812218665292956
scifact,self_bound,pca,4,1.0,1.0
scifact,self_bound,pca,12,1.0,1.0
scifact,self_bound,pca,20,1.0,1.0
scifact,self_bound,pca,32,1.0,1.0
scifact,self_bound,pca,48,1.0,1.0
scifact,self_bound,pca,64,0.9999922824618946,0.9999906258268109
scifact,self_bound,pca,96,0.834644028554891,0.8325102984491438
scifact,self_bound,pca,128,0.015655026046691105,0.0009812218665292956
scifact,oracle,natural,4,1.0,1.0
scifact,oracle,natural,12,1.0,1.0
scifact,oracle,natural,20,1.0,1.0
scifact,oracle,natural,32,1.0,1.0
scifact,oracle,natural,48,1.0,1.0
scifact,oracle,natural,64,0.9999459772332626,0.9999424057807985
scifact,oracle,natural,96,0.6833687053829829,0.6769698291797861
scifact,oracle,natural,128,0.0019486783715994597,0.0001452033144272906
scifact,oracle,bond,4,1.0,1.0
scifact,oracle,bond,12,1.0,1.0
scifact,oracle,bond,20,1.0,1.0
scifact,oracle,bond,32,1.0,1.0
scifact,oracle,bond,48,0.9997568975496816,0.9997386445471222
scifact,oracle,bond,64,0.9801427744549489,0.9796900740647292
scifact,oracle,bond,96,0.37365618367740694,0.36937897416758214
scifact,oracle,bond,128,0.0019486783715994597,0.0001452033144272906
scifact,oracle,pca,4,1.0,1.0
scifact,oracle,pca,12,1.0,1.0
scifact,oracle,pca,20,1.0,1.0
scifact,oracle,pca,32,1.0,1.0
scifact,oracle,pca,48,1.0,1.0
scifact,oracle,pca,64,0.9999729886166312,0.9999681628547948
scifact,oracle,pca,96,0.6649508006945785,0.6613320262056326
scifact,oracle,pca,128,0.0019486783715994597,0.0001452033144272906
scifact,seed,natural,4,1.0,1.0
scifact,seed,natural,12,1.0,1.0
scifact,seed,natural,20,1.0,1.0
scifact,seed,natural,32,1.0,1.0
scifact,seed,natural,48,1.0,1.0
scifact,seed,natural,64,0.9999884236928419,0.9999893992994776
scifact,seed,natural,96,0.8164306386262783,0.8124788117403196
scifact,seed,natural,128,0.006494308315647308,0.00045442837693638005
scifact,seed,bond,4,1.0,1.0
scifact,seed,bond,12,1.0,1.0
scifact,seed,bond,20,1.0,1.0
scifact,seed,bond,32,1.0,1.0
scifact,seed,bond,48,0.9999652710785258,0.9999662880201571
scifact,seed,bond,64,0.9957167663515339,0.9956704110793967
scifact,seed,bond,96,0.5480571097819795,0.5431226159374961
scifact,seed,bond,128,0.005186185606791433,0.00038052134420386987
scifact,seed,pca,4,1.0,1.0
scifact,seed,pca,12,1.0,1.0
scifact,seed,pca,20,1.0,1.0
scifact,seed,pca,32,1.0,1.0
scifact,seed,pca,48,1.0,1.0
scifact,seed,pca,64,0.9999922824618946,0.9999906258268109
scifact,seed,pca,96,0.8274319891954467,0.8253514438854984
scifact,seed,pca,128,0.007296932278603126,0.0005265306623072381
