dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,ms_nearest_bucket,ms_bounds_evaluation,ms_distance_calculation,ms_query_preprocessing,%_nearest_bucket,%_bounds_evaluation,%_distance_calculation,%_query_preprocessing
agnews-mxbai-1024-euclidean,adsampling,8.40987,21.2083,2.54269,0.9978,512,2.1,10,1000,0,1,8.566,31.87,2.543,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,5.09116,12.5641,1.4413,0.9963,256,2.1,10,1000,0,1,5.246,17.55,1.441,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,4.50139,11.0539,1.24266,0.9958,224,2.1,10,1000,0,1,4.609,15.67,1.243,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,3.9652,9.67743,1.12042,0.9953,192,2.1,10,1000,0,1,4.047,13.7,1.12,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,3.4873,8.55457,0.976137,0.9944,160,2.1,10,1000,0,1,3.581,11.9,0.9761,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,3.2735,7.979,0.892481,0.9939,144,2.1,10,1000,0,1,3.354,10.88,0.8925,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,3.07427,7.45017,0.810828,0.993601,128,2.1,10,1000,0,1,3.146,12.53,0.8108,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,2.74885,6.68199,0.748731,0.9918,112,2.1,10,1000,0,1,2.821,8.819,0.7487,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,2.52993,6.10243,0.702996,0.990201,96,2.1,10,1000,0,1,2.598,9.786,0.703,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,2.19763,5.15144,0.610633,0.988401,80,2.1,10,1000,0,1,2.255,6.752,0.6106,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.86875,4.32744,0.517809,0.9861,64,2.1,10,1000,0,1,1.908,5.433,0.5178,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.7639,4.08432,0.497881,0.983701,56,2.1,10,1000,0,1,1.811,4.738,0.4979,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.54706,3.55702,0.458989,0.980701,48,2.1,10,1000,0,1,1.573,4.154,0.459,0,0,0,0,-nan,-nan,-nan,-nan
